"sub","distBtwShapes","trial_number","cuedAR","uncuedAR","responseAR","rt","global_org","cued_ellipse","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","sameDirection1S0D","responseError","sameCatS1D0","identicalShapesI1D0","uncuedCatM1F0C1T"
293737,402,31,0.27799043,-0.09266412,0.32432225,2438,1,1,270,270,1,0.8,270,1,0.04633182,0,0,-1
293737,402,32,0.13899498,-0.00000048,0.13899498,1574,1,1,90,270,1,0.6,90,0,0,0,0,0
293737,402,33,-0.32432321,-0.27799139,-0.23165957,2082,0,1,180,0,1,0.6,180,0,0.09266364,1,0,-1
293737,402,34,-0.46331866,-0.37065503,-0.23165957,2306,1,2,0,0,1,0.6,0,1,0.23165909,1,0,-1
293737,402,35,0.23165861,-0.32432321,-0.0463323,1323,1,1,270,270,1,0.6,270,1,-0.27799091,0,0,-1
293737,402,36,0.09266316,0.27799043,-0.0463323,1477,0,1,180,180,1,0.6,180,1,-0.13899546,1,0,1
293737,402,37,-0.23165957,-0.37065503,0.13899498,1179,1,2,0,180,1,0.8,180,0,0.37065455,1,0,-1
293737,402,38,-0.18532775,0.4633177,-0.18532775,1857,0,2,270,90,1,0.8,90,0,0,0,0,1
293737,402,39,-0.41698684,0.18532679,-0.13899593,1584,1,2,90,90,1,0.8,90,1,0.27799091,0,0,1
293737,402,40,0.27799043,0.04633134,0.32432225,2476,0,1,0,0,1,0.6,0,1,0.04633182,1,0,1
293737,402,41,-0.41698684,-0.46331866,-0.18532775,1303,0,2,270,90,1,0.8,90,0,0.23165909,1,0,-1
293737,402,42,0.32432225,0.41698588,0.04633134,1397,1,1,0,0,1,0.8,0,1,-0.27799091,1,0,1
293737,402,43,-0.23165957,-0.37065503,0.32432225,1764,1,1,0,180,1,0.6,0,0,0.55598182,1,0,-1
293737,402,44,-0.46331866,0.04633134,-0.37065503,2304,1,2,0,0,1,0.8,0,1,0.09266363,0,0,1
293737,402,45,-0.18532775,-0.0463323,-0.18532775,1319,1,2,0,0,1,0.6,0,1,0,1,0,-1
293737,402,46,-0.41698684,-0.32432321,0.18532679,1399,1,2,0,0,1,0.8,0,1,0.60231363,1,0,-1
293737,402,47,-0.00000048,-0.46331866,-0.09266412,1532,1,2,270,90,1,0.6,90,0,-0.09266364,0,0,-1
293737,402,48,0.13899498,-0.41698684,0.32432225,1955,1,1,270,90,1,0.8,270,0,0.18532727,0,0,-1
